size,code,brand,model,factory price,DOT#1-1,DOT#1-2,DOT#2-1,DOT#2-2,DOT#3,DOT#4-1,DOT#4-2,DOT#5-1,DOT#5-2,DOT#9,제품명
,TAH,#N/A,#N/A,0,,,,,,,,,,,< 하빌리드 타이어 >
,TAHHABILEAD00,#N/A,#N/A,0,,,,,,,,,,,< S2000 >
2253519,TAHHABILEAD01,하빌리드,S2000,"130,000",,,,,,,,,,,225/35R19 (하빌리드) S2000
,TAM,#N/A,#N/A,0,,,,,,,,,,,< 맥시스타이어 >
,TAM3P00000000,#N/A,#N/A,0,,,,,,,,,,,< M3 브라보 HP >
2056516,TAM3P100012,맥시스,M3 브라보 HP,"136,510",,,,,,,,,,,205/65R16 (맥시스) M3 브라보 HP
2155517,TAM3P100019,맥시스,M3 브라보 HP,"150,920",,,,,,,,,,,215/55R17 (맥시스) M3 브라보 HP
2255017,TAM3P100027,맥시스,M3 브라보 HP,"157,410",,,,,,,,,,,225/50R17 (맥시스) M3 브라보 HP
2255517,TAM3P100028,맥시스,M3 브라보 HP,"150,920",,,,,,,,,,,225/55R17 (맥시스) M3 브라보 HP
2355519,TAM3P100037,맥시스,M3 브라보 HP,"201,300",,,,,,,,,,,235/55R19 (맥시스) M3 브라보 HP
2356016,TAM3P100038,맥시스,M3 브라보 HP,"184,800",,,,,,,,,,,235/60R16 (맥시스) M3 브라보 HP
2356018,TAM3P100041,맥시스,M3 브라보 HP,"197,450",,,,,,,,,,,235/60R18 (맥시스) M3 브라보 HP
2454019,TAM3P100047,맥시스,M3 브라보 HP,"201,300",,,,,,,,,,,245/40R19 (맥시스) M3 브라보 HP
2454518,TAM3P100049,맥시스,M3 브라보 HP,"184,800",,,,,,,,,,,245/45R18 (맥시스) M3 브라보 HP
2454519,TAM3P100050,맥시스,M3 브라보 HP,"201,300",,,,,,,,,,,245/45R19 (맥시스) M3 브라보 HP
2555019,TAM3P100066,맥시스,M3 브라보 HP,"243,430",,,,,,,,,,,255/50R19 (맥시스) M3 브라보 HP
2354518,TAM3P100068,맥시스,M3 브라보 HP,"180,400",,,,,,,,,,,235/45R18 (맥시스) M3 브라보 HP
2754019,TAM3P100995,맥시스,M3 브라보 HP,"262,350",,,,,,,,,,,275/40R19 (맥시스) M3 브라보 HP
2554520,TAM3P106576,맥시스,M3 브라보 HP,"276,100",,,,,,,,,,,255/45R20 (맥시스) M3 브라보 HP
,TAMATP0000000,#N/A,#N/A,0,,,,,,,,,,,< AT771 온/오프로드용 >
2556018,TAMATP100052,맥시스,AT771 온/오프로드용,"255,970",,,,,,,,,,,255/60R18 (맥시스) AT771 온/오프로드용
2656018,TAMATP100058,맥시스,AT771 온/오프로드용,"281,270",,,,,,,,,,,265/60R18 (맥시스) AT771 온/오프로드용
,TAMUE16800,#N/A,#N/A,0,,,,,,,,,,,< UE168 >
2057015,TAMUEP200014,맥시스,8P UE168,"143,000",,,,,,,,,,,205/70R15 (맥시스) 8P UE168
